"Statistic Label","Year","Electoral Division","UNIT","VALUE"
"Median Gross Household Income","2022","Agha, Carlow","€","75000"
"Median Gross Household Income","2022","Ballinacarrig, Carlow","€","70226"
"Median Gross Household Income","2022","Ballintemple, Carlow","€","63819"
"Median Gross Household Income","2022","Ballon, Carlow","€","55475"
"Median Gross Household Income","2022","Ballyellin, Carlow","€","63022"
"Median Gross Household Income","2022","Ballymoon, Carlow","€","69034"
"Median Gross Household Income","2022","Ballymurphy, Carlow","€","55884"
"Median Gross Household Income","2022","Borris, Carlow","€","49362"
"Median Gross Household Income","2022","Burton Hall, Carlow","€","84318"
"Median Gross Household Income","2022","Carlow Rural, Carlow","€","53687"
"Median Gross Household Income","2022","Carlow Urban, Carlow","€","38222"
"Median Gross Household Income","2022","Clogrenan, Carlow","€","65703"
"Median Gross Household Income","2022","Clonegall, Carlow","€","57680"
"Median Gross Household Income","2022","Clonmore, Carlow","€","64741"
"Median Gross Household Income","2022","Coonogue, Carlow","€","47284"
"Median Gross Household Income","2022","Corries, Carlow","€","58143"
"Median Gross Household Income","2022","Cranemore, Carlow","€","56192"
"Median Gross Household Income","2022","Fennagh, Carlow","€","65175"
"Median Gross Household Income","2022","Garryhill, Carlow","€","62586"
"Median Gross Household Income","2022","Glynn, Carlow","€","57051"
"Median Gross Household Income","2022","Graigue Urban, Carlow","€","36299"
"Median Gross Household Income","2022","Grangeford, Carlow","€","74915"
"Median Gross Household Income","2022","Hacketstown, Carlow","€","51475"
"Median Gross Household Income","2022","Haroldstown, Carlow","€","60444"
"Median Gross Household Income","2022","Johnstown, Carlow","€","69140"
"Median Gross Household Income","2022","Kellistown, Carlow","€","63836"
"Median Gross Household Income","2022","Kilbride, Carlow","€","63545"
"Median Gross Household Income","2022","Killedmond, Carlow","€","57449"
"Median Gross Household Income","2022","Killerrig, Carlow","€","89364"
"Median Gross Household Income","2022","Kineagh, Carlow","€","68057"
"Median Gross Household Income","2022","Kyle, Carlow","€","59018"
"Median Gross Household Income","2022","Leighlinbridge, Carlow","€","51553"
"Median Gross Household Income","2022","Marley, Carlow","€","69985"
"Median Gross Household Income","2022","Muinebeag Rural, Carlow","€","73190"
"Median Gross Household Income","2022","Muinebeag Urban, Carlow","€","43621"
"Median Gross Household Income","2022","Myshall, Carlow","€","49928"
"Median Gross Household Income","2022","Nurney, Carlow","€","66367"
"Median Gross Household Income","2022","Oldleighlin, Carlow","€","62327"
"Median Gross Household Income","2022","Rahill, Carlow","€","59729"
"Median Gross Household Income","2022","Rathanna, Carlow","€","52288"
"Median Gross Household Income","2022","Rathornan, Carlow","€","54868"
"Median Gross Household Income","2022","Rathrush, Carlow","€","81030"
"Median Gross Household Income","2022","Rathvilly, Carlow","€","47815"
"Median Gross Household Income","2022","Ridge, Carlow","€","68790"
"Median Gross Household Income","2022","Shangarry, Carlow","€","68954"
"Median Gross Household Income","2022","Sliguff, Carlow","€","59965"
"Median Gross Household Income","2022","Tankardstown, Carlow","€","68848"
"Median Gross Household Income","2022","Templepeter, Carlow","€","69272"
"Median Gross Household Income","2022","Tiknock, Carlow","€","61924"
"Median Gross Household Income","2022","Tinnahinch, Carlow","€","47322"
"Median Gross Household Income","2022","Tullow Rural, Carlow","€","63435"
"Median Gross Household Income","2022","Tullow Urban, Carlow","€","45072"
"Median Gross Household Income","2022","Tullowbeg, Carlow","€","62998"
"Median Gross Household Income","2022","Williamstown, Carlow","€","64123"
"Median Gross Household Income","2022","Arran Quay A, Dublin City","€","63642"
"Median Gross Household Income","2022","Arran Quay B, Dublin City","€","64740"
"Median Gross Household Income","2022","Arran Quay C, Dublin City","€","65854"
"Median Gross Household Income","2022","Arran Quay D, Dublin City","€","54430"
"Median Gross Household Income","2022","Arran Quay E, Dublin City","€","60435"
"Median Gross Household Income","2022","Ashtown A, Dublin City","€","84641"
"Median Gross Household Income","2022","Ashtown B, Dublin City","€","76806"
"Median Gross Household Income","2022","Ayrfield, Dublin City","€","55504"
"Median Gross Household Income","2022","Ballybough A, Dublin City","€","44926"
"Median Gross Household Income","2022","Ballybough B, Dublin City","€","50175"
"Median Gross Household Income","2022","Ballygall A, Dublin City","€","56596"
"Median Gross Household Income","2022","Ballygall B, Dublin City","€","50719"
"Median Gross Household Income","2022","Ballygall C, Dublin City","€","70015"
