"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Carlow","Euro","1041.93"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Carlow Town","Euro","1092.71"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Tullow, Carlow","Euro","1057.79"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cavan","Euro","817.96"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cavan Town","Euro","894.62"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Bailieborough, Cavan","Euro","741.11"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballyconnell, Cavan","Euro","853.11"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballyjamesduff, Cavan","Euro","841.81"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Belturbet, Cavan","Euro","729.22"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cootehill, Cavan","Euro","606.34"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Kingscourt, Cavan","Euro","874.87"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Virginia, Cavan","Euro","881.81"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clare","Euro","900.32"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ennis, Clare","Euro","907.56"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Killaloe, Clare","Euro","1019.79"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Kilrush, Clare","Euro","646.96"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Newmarket-On-Fergus, Clare","Euro","961.94"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Shannon, Clare","Euro","972.9"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Sixmilebridge, Clare","Euro","945.06"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cork","Euro","1243.39"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cork City","Euro","1397.36"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballincollig, Cork","Euro","1352.77"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballintemple, Cork","Euro","1374.62"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballinure, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Bandon, Cork","Euro","983.98"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Bantry, Cork","Euro","798.72"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Bishopstown, Cork","Euro","1733.13"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Blackpool, Cork","Euro","1136.05"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Blackrock, Cork","Euro","1413.45"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Blarney, Cork","Euro","1375.69"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Carrigaline, Cork","Euro","1284.91"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Carrigtwohill, Cork","Euro","1198.51"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Castlemartyr, Cork","Euro","980.81"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Charleville, Cork","Euro","876.44"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clonakilty, Cork","Euro","1002.23"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cloyne, Cork","Euro","994.7"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cobh, Cork","Euro","1018.97"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Crosshaven, Cork","Euro","1209.52"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Douglas, Cork","Euro","1482.63"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dunmanway, Cork","Euro","867.98"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Fermoy, Cork","Euro","956.39"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Frankfield, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Glanmire, Cork","Euro","1297"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Kanturk, Cork","Euro","939.55"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Kinsale, Cork","Euro","1366.65"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Macroom, Cork","Euro","944.74"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Mallow, Cork","Euro","998.52"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Midleton, Cork","Euro","1133.2"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Millstreet, Cork","Euro","857.19"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Mitchelstown, Cork","Euro","856.77"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Montenotte, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Passage West, Cork","Euro","1215.17"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rathcormac, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rochestown, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Skibbereen, Cork","Euro","831.2"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Tivoli, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Tower, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Whitegate, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Wilton, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Youghal, Cork","Euro","912.64"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Donegal","Euro","714.28"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Donegal Town","Euro","670.87"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballybofey, Donegal","Euro","685.52"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Buncrana, Donegal","Euro","654.85"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Bundoran, Donegal","Euro","620.81"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Carndonagh, Donegal","Euro","610.38"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Letterkenny, Donegal","Euro","805.6"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Lifford, Donegal","Euro","655.01"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Stranorlar, Donegal","Euro","677.84"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin","Euro","1874.02"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Balbriggan, Dublin","Euro","1472.48"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Blackrock, Dublin","Euro","2294.87"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Booterstown, Dublin","Euro","2356.65"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dalkey, Dublin","Euro","2572.35"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Donabate, Dublin","Euro","1608.85"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dun Laoghaire, Dublin","Euro","2084.39"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Glenageary, Dublin","Euro","2560.91"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Howth, Dublin","Euro","2026.93"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Killiney, Dublin","Euro","2253.23"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Kinsealy, Dublin","Euro","1783.03"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Lucan, Dublin","Euro","1866.88"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Lusk, Dublin","Euro","1672.32"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Malahide, Dublin","Euro","2190.33"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Monkstown, Dublin","Euro","1869.55"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Mount Merrion, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Portmarnock, Dublin","Euro","2104.03"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rathcoole, Dublin","Euro","1664.85"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rush, Dublin","Euro","1633.88"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Saggart, Dublin","Euro","1734.88"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Sandycove, Dublin","Euro","2323.3"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Shankill, Dublin","Euro","1823.24"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Skerries, Dublin","Euro","1620.45"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Stepaside, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Stillorgan, Dublin","Euro","2062.74"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Swords, Dublin","Euro","1657.41"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 1","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","I.F.S.C., Dublin 1","Euro","1942.71"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Parnell Street, Dublin 1","Euro","1685.49"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Spencer Dock, Dublin 1","Euro","2311.64"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Summerhill, Dublin 1","Euro","1490.17"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Aungier Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Charlemont Street, Dublin 2","Euro","2129.42"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Grand Canal Dock, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Grand Canal Square, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Hanover Quay, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Lower Mount Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Pearse Street, Dublin 2","Euro","1854.17"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Tara Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Temple Bar, Dublin 2","Euro","1908.17"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Townsend Street, Dublin 2","Euro","1809.48"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clonliffe, Dublin 3","Euro","1573.66"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clontarf, Dublin 3","Euro","1824.65"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Drumcondra, Dublin 3","Euro","1622.12"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","East Wall, Dublin 3","Euro","1833.96"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Eastwall, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Fairview, Dublin 3","Euro","1568.23"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Marino, Dublin 3","Euro","1792.11"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","North Strand, Dublin 3","Euro","1754.38"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 4","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballsbridge, Dublin 4","Euro","2396.02"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Donnybrook, Dublin 4","Euro","2266.95"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Irishtown, Dublin 4","Euro","2070.86"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Merrion, Dublin 4","Euro","2216"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Pembroke, Dublin 4","Euro","2107.21"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ringsend, Dublin 4","Euro","2014.23"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Sandymount, Dublin 4","Euro","2326.12"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 5","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Artane, Dublin 5","Euro","1874.2"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Killester, Dublin 5","Euro","2056.15"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Raheny, Dublin 5","Euro","1862.69"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 6","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dartry, Dublin 6","Euro","2234.75"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Harolds Cross, Dublin 6","Euro","2009.27"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Milltown, Dublin 6","Euro","2126.51"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ranelagh, Dublin 6","Euro","1824.87"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rathgar, Dublin 6","Euro","1582.35"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rathmines, Dublin 6","Euro","1517.41"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Terenure, Dublin 6","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 6W","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Harolds Cross, Dublin 6W","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Templeogue, Dublin 6W","Euro","2129.61"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Terenure, Dublin 6W","Euro","1999.21"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 7","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Arbour Hill, Dublin 7","Euro","1816.26"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cabra, Dublin 7","Euro","1344.44"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Navan Road, Dublin 7","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","North Circular Road, Dublin 7","Euro","1653.89"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Phibsboro, Dublin 7","Euro","1097.76"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Smithfield, Dublin 7","Euro","1889.7"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Stoneybatter, Dublin 7","Euro","1803.62"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Christchurch, Dublin 8","Euro","1607.46"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cork Street, Dublin 8","Euro","1645.95"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dolphins Barn, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Inchicore, Dublin 8","Euro","1626.94"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Islandbridge, Dublin 8","Euro","1942.07"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Kilmainham , Dublin 8","Euro","1645.11"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Portobello, Dublin 8","Euro","1460.92"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rialto, Dublin 8","Euro","1647.25"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","South Circular Road, Dublin 8","Euro","1662.87"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","The Coombe, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 9","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballymun, Dublin 9","Euro","1510.75"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Beaumont, Dublin 9","Euro","1773.97"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Drumcondra, Dublin 9","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Glasnevin, Dublin 9","Euro","1734.77"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Santry, Dublin 9","Euro","1908.24"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Whitehall, Dublin 9","Euro","1811.57"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 10","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballyfermot, Dublin 10","Euro","1659.22"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cherry Orchard, Dublin 10","Euro","1551.34"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 11","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballymun, Dublin 11","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Finglas, Dublin 11","Euro","1580.96"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Glasnevin, Dublin 11","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Meakstown, Dublin 11","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","St Margarets Road, Dublin 11","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 12","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Crumlin, Dublin 12","Euro","1761.12"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Drimnagh, Dublin 12","Euro","1739.89"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Kimmage, Dublin 12","Euro","1805"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Walkinstown, Dublin 12","Euro","1810.62"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 13","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Baldoyle, Dublin 13","Euro","1781.6"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Balgriffin, Dublin 13","Euro","1923.84"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clongriffin, Dublin 13","Euro","1862.76"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Donaghmede, Dublin 13","Euro","1684.69"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Sutton, Dublin 13","Euro","2097.24"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 14","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Churchtown, Dublin 14","Euro","2392.92"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clonskeagh, Dublin 14","Euro","2402.49"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dundrum, Dublin 14","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Goatstown, Dublin 14","Euro","2515.91"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rathfarnham, Dublin 14","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ashtown, Dublin 15","Euro","1746.66"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Blanchardstown, Dublin 15","Euro","1672.25"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Carpenterstown, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Castleknock, Dublin 15","Euro","1880.76"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clonee, Dublin 15","Euro","1672.89"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clonsilla, Dublin 15","Euro","1720.89"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Coolmine, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Mulhuddart, Dublin 15","Euro","1577.3"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ongar, Dublin 15","Euro","1617.17"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Porterstown, Dublin 15","Euro","1666.55"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Royal Canal Park, Dublin 15","Euro","1683.66"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Tyrrelstown, Dublin 15","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 16","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballinteer, Dublin 16","Euro","1967.74"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dundrum, Dublin 16","Euro","2129.24"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Knocklyon, Dublin 16","Euro","1962.84"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Rathfarnham, Dublin 16","Euro","1978.35"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Sandyford, Dublin 16","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 17","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Malahide Road, Dublin 17","Euro","1623.41"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Northern Cross, Dublin 17","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 18","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Cabinteely, Dublin 18","Euro","1941.24"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Carrickmines, Dublin 18","Euro","1957.66"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Foxrock, Dublin 18","Euro","2892.57"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Leopardstown, Dublin 18","Euro","2070.28"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Sandyford, Dublin 18","Euro","1876.34"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Stepaside, Dublin 18","Euro","1824.14"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 20","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Chapelizod, Dublin 20","Euro","1627.61"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Palmerstown, Dublin 20","Euro","1645.43"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clondalkin, Dublin 22","Euro","1570.83"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Dublin 24","Euro",""
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballycullen, Dublin 24","Euro","1747.62"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Citywest, Dublin 24","Euro","1827.8"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Firhouse, Dublin 24","Euro","1869.61"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Tallaght, Dublin 24","Euro","1608.24"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Galway","Euro","1280.44"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Galway City","Euro","1460.01"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Athenry, Galway","Euro","1011.27"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballinasloe, Galway","Euro","860.28"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballybane, Galway","Euro","1213.35"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Ballybrit, Galway","Euro","1290.54"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Barna, Galway","Euro","1496.36"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Bohermore, Galway","Euro","1441.18"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Claregalway, Galway","Euro","1248.81"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Clifden, Galway","Euro","878.66"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Doughiska, Galway","Euro","1288.14"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Gort, Galway","Euro","952.95"
"RTB Average Monthly Rent Report","2022Q4","All bedrooms","All property types","Headford, Galway","Euro","1038.27"
